img0130.npz mean_cands=12.89 fallback=227
img0131.npz mean_cands=13.27 fallback=230
img0132.npz mean_cands=14.09 fallback=242
img0133.npz mean_cands=11.93 fallback=217
img0134.npz mean_cands=12.23 fallback=213
img0135.npz mean_cands=7.00 fallback=154
img0136.npz mean_cands=11.31 fallback=204
img0137.npz mean_cands=7.17 fallback=175
img0138.npz mean_cands=12.13 fallback=221
img0139.npz mean_cands=10.25 fallback=200
img0140.npz mean_cands=9.13 fallback=181
img0141.npz mean_cands=8.84 fallback=191
img0142.npz mean_cands=11.18 fallback=210
img0143.npz mean_cands=5.83 fallback=186
img0144.npz mean_cands=10.42 fallback=208
img0145.npz mean_cands=5.83 fallback=177
img0146.npz mean_cands=12.79 fallback=225
img0147.npz mean_cands=14.92 fallback=253
img0148.npz mean_cands=11.00 fallback=218
img0149.npz mean_cands=9.81 fallback=206
img0150.npz mean_cands=10.36 fallback=200
img0151.npz mean_cands=13.39 fallback=253
img0152.npz mean_cands=10.58 fallback=191
img0153.npz mean_cands=10.68 fallback=207
img0154.npz mean_cands=5.45 fallback=151
img0155.npz mean_cands=11.45 fallback=207
img0156.npz mean_cands=9.77 fallback=188
img0157.npz mean_cands=10.46 fallback=212
img0158.npz mean_cands=10.68 fallback=193
img0159.npz mean_cands=8.49 fallback=174
